seq_len,latent_dim,hidden_dim,lr,percentile,benign_accuracy,benign_precision,benign_recall,benign_f1,abnormal_accuracy,abnormal_precision,abnormal_recall,abnormal_f1
10,16,128,0.001,95,0.9310344827586207,0.0,0.0,0.0,0.924812030075188,1.0,0.924812030075188,0.9609375
10,16,64,0.001,95,0.9310344827586207,0.0,0.0,0.0,0.924812030075188,1.0,0.924812030075188,0.9609375
10,32,128,0.001,95,0.9310344827586207,0.0,0.0,0.0,0.924812030075188,1.0,0.924812030075188,0.9609375
10,32,64,0.001,95,0.9310344827586207,0.0,0.0,0.0,0.924812030075188,1.0,0.924812030075188,0.9609375
10,32,128,0.001,97,0.946360153256705,0.0,0.0,0.0,0.9097744360902256,1.0,0.9097744360902256,0.952755905511811
10,16,64,0.001,97,0.946360153256705,0.0,0.0,0.0,0.9097744360902256,1.0,0.9097744360902256,0.952755905511811
10,32,64,0.001,97,0.946360153256705,0.0,0.0,0.0,0.9097744360902256,1.0,0.9097744360902256,0.952755905511811
10,16,128,0.001,97,0.946360153256705,0.0,0.0,0.0,0.9097744360902256,1.0,0.9097744360902256,0.952755905511811
10,32,128,0.001,99,0.9645593869731801,0.0,0.0,0.0,0.9022556390977443,1.0,0.9022556390977443,0.9486166007905138
10,32,64,0.001,99,0.9645593869731801,0.0,0.0,0.0,0.9022556390977443,1.0,0.9022556390977443,0.9486166007905138
10,16,128,0.001,99,0.9645593869731801,0.0,0.0,0.0,0.9022556390977443,1.0,0.9022556390977443,0.9486166007905138
10,16,64,0.001,99,0.9645593869731801,0.0,0.0,0.0,0.9022556390977443,1.0,0.9022556390977443,0.9486166007905138
8,16,128,0.001,95,0.9349904397705545,0.0,0.0,0.0,0.837037037037037,1.0,0.837037037037037,0.9112903225806451
8,32,64,0.001,95,0.9349904397705545,0.0,0.0,0.0,0.837037037037037,1.0,0.837037037037037,0.9112903225806451
8,16,64,0.001,95,0.9349904397705545,0.0,0.0,0.0,0.837037037037037,1.0,0.837037037037037,0.9112903225806451
8,32,128,0.001,95,0.9349904397705545,0.0,0.0,0.0,0.837037037037037,1.0,0.837037037037037,0.9112903225806451
8,16,64,0.001,97,0.9531548757170172,0.0,0.0,0.0,0.8296296296296296,1.0,0.8296296296296296,0.9068825910931174
8,32,128,0.001,97,0.9531548757170172,0.0,0.0,0.0,0.8296296296296296,1.0,0.8296296296296296,0.9068825910931174
8,32,64,0.001,97,0.9531548757170172,0.0,0.0,0.0,0.8296296296296296,1.0,0.8296296296296296,0.9068825910931174
8,16,128,0.001,97,0.9531548757170172,0.0,0.0,0.0,0.8296296296296296,1.0,0.8296296296296296,0.9068825910931174
8,16,64,0.001,99,0.9732313575525813,0.0,0.0,0.0,0.8,1.0,0.8,0.8888888888888888
8,16,128,0.001,99,0.9732313575525813,0.0,0.0,0.0,0.8,1.0,0.8,0.8888888888888888
8,32,64,0.001,99,0.9732313575525813,0.0,0.0,0.0,0.8,1.0,0.8,0.8888888888888888
8,32,128,0.001,99,0.9732313575525813,0.0,0.0,0.0,0.8,1.0,0.8,0.8888888888888888
6,32,64,0.001,95,0.9398854961832062,0.0,0.0,0.0,0.7007299270072993,1.0,0.7007299270072993,0.8240343347639485
6,32,128,0.001,95,0.9398854961832062,0.0,0.0,0.0,0.7007299270072993,1.0,0.7007299270072993,0.8240343347639485
6,16,128,0.001,95,0.9398854961832062,0.0,0.0,0.0,0.7007299270072993,1.0,0.7007299270072993,0.8240343347639485
6,16,64,0.001,95,0.9398854961832062,0.0,0.0,0.0,0.7007299270072993,1.0,0.7007299270072993,0.8240343347639485
6,32,128,0.001,97,0.9580152671755725,0.0,0.0,0.0,0.6642335766423357,1.0,0.6642335766423357,0.7982456140350878
6,16,64,0.001,97,0.9580152671755725,0.0,0.0,0.0,0.6642335766423357,1.0,0.6642335766423357,0.7982456140350878
6,32,64,0.001,97,0.9580152671755725,0.0,0.0,0.0,0.6642335766423357,1.0,0.6642335766423357,0.7982456140350878
6,16,128,0.001,97,0.9580152671755725,0.0,0.0,0.0,0.6642335766423357,1.0,0.6642335766423357,0.7982456140350878
6,16,64,0.001,99,0.9799618320610687,0.0,0.0,0.0,0.5474452554744526,1.0,0.5474452554744526,0.7075471698113207
6,32,64,0.001,99,0.9799618320610687,0.0,0.0,0.0,0.5474452554744526,1.0,0.5474452554744526,0.7075471698113207
6,32,128,0.001,99,0.9799618320610687,0.0,0.0,0.0,0.5474452554744526,1.0,0.5474452554744526,0.7075471698113207
6,16,128,0.001,99,0.9799618320610687,0.0,0.0,0.0,0.5474452554744526,1.0,0.5474452554744526,0.7075471698113207
